GI;ID;Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_zsocred_iBAQ;ZT3_zscore_iBAQ;ZT6_zsocred_iBAQ;ZT9_zscore_iBAQ;ZT12_zsocred_iBAQ;ZT15_zscore_iBAQ;ZT18_zsocred_iBAQ;ZT21_zscore_iBAQ;ZT24_zsocred_iBAQ;ZT27_zscore_iBAQ;ZT30_zsocred_iBAQ;ZT33_zscore_iBAQ;ZT36_zsocred_iBAQ;ZT39_zscore_iBAQ;ZT42_zsocred_iBAQ;ZT45_zscore_iBAQ
gi226510365;GeneID:54150;Rdh7;1;0.536288358;19.8;2.4;0.681840247;0.6439572;1.018730605;-1.280892165;0.939599572;-1.65725041;0.351777576;-0.285109019;0.26918664;0.493081005;1.10611548;-1.249376743;-0.161709305;-1.520128319;-0.223195733;1.211390386;0.34382323
gi23680945;GeneID:103142;Rdh9;1;1;25.8;18.3;0.602978486;-1.071289353;-0.534754369;0.689985624;-0.549231321;1.893408684;-0.748201127;-0.384300005;0.704381867;-0.951526071;-0.410334245;1.348034163;-1.07766246;1.021241231;-0.701003693;-0.361340834;1.13259191
gi157277950;GeneID:19684;Rdx;1;1;25.8;11.4;0.498178781;-0.616385472;-0.000781856;0.00051746;0.404967193;1.083300554;0.228592662;-2.070803027;0.970592485;-0.002621814;2.052811501;-0.310294007;-0.69386082;0.34072085;0.412797742;-0.510839793;-1.288713658
gi30519927;GeneID:28193;Reep3;1;1;19.8;3.9;0.457618651;0.244597048;1.959471117;-0.025103421;-1.659354829;-0.008308816;0.241694754;-0.424298702;-0.328697151;2.446805173;-0.029645963;-0.269743003;-0.482167793;-0.405475748;-0.326402676;-0.451202198;-0.482167793
gi30725847;GeneID:72549;Reep4;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391
gi161016826;GeneID:13476;Reep5;1;0.685139985;25.8;3.9;0.252062939;-0.934817132;1.769011302;1.151862697;-0.869460256;-0.192970088;-0.934817132;0.042904776;-0.031714168;-1.174003172;1.05013403;1.680866504;-0.040168399;0.299560629;-1.174003172;-0.227227274;-0.415159146
gi21314830;GeneID:70335;Reep6;1;1;25.8;12.9;0.993256234;-0.951913752;-0.603063008;0.470607072;1.023502061;-0.673864478;1.396885324;0.627188057;-1.289341278;-0.661654175;0.054440838;0.921642175;-1.892728269;-0.050157764;0.067869219;1.452069956;0.108518019
gi112181204;GeneID:19696;Rel;1;1;19.8;12.3;0.101300171;-0.496813466;0.75687611;-0.496813466;-0.496813466;2.224004684;-0.496813466;-0.496813466;-0.496813466;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391
gi6677709;GeneID:19697;Rela;1;1;25.8;12.9;1.179587964;-1.354823453;0.098474987;-0.818067769;1.027511279;0.589371506;1.31514956;0.272979645;-1.130595755;1.496970673;0.621447449;0.516440827;-1.046561341;-0.245578282;0.641475834;-1.526215989;-0.45797917
gi110625912;GeneID:100532;Rell1;1;1;19.8;5.4;0.626841152;-1.158375181;-0.018677237;-0.524022415;0.568134606;-0.43699497;-0.024574655;-0.543946463;2.138456314;1.087029604;0.62981116;-0.718835844;-0.905164495;1.699570873;-0.884208188;-0.492016528;-0.416186582
